"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",99.2617961060779,99.2604,99.3029561185488,30455.5,0.95,95.6823,102.696,NA,NA,NA,NA,NA,NA,NA
"mu[2]",107.151289056219,107.133,107.110749366409,27902.7,0.95,102.108,112.664,NA,NA,NA,NA,NA,NA,NA
"muDiff",7.889492950141,7.89980000000001,8.02881511166816,29222,0.95,1.5609,14.2184,0,99.2220155596888,-0.5,0.5,0.523989520209596,0.615987680246391,98.860022799544
"sigma[1]",11.3637451678966,11.2452,10.8633184175797,12471.6,0.95,8.05637,14.7513,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",17.983908548629,17.8252,17.4557585633748,12298.9,0.95,12.8909,23.5156,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",6.62016338073238,6.52182,6.18768819850316,24667.3,0.95,1.3653,12.2989,0,99.3560128797424,-0.5,0.5,0.375992480150397,0.679986400271986,98.9440211195776
"nu",3.91491512669747,3.52859,3.02705746651675,5701,0.95,1.63026,7.13378,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.561259220560604,0.547601198999825,0.528526934635717,7662,0.95,0.258162986851668,0.875031730362796,NA,NA,NA,NA,NA,NA,NA
"effSz",0.530914664372778,0.527767509414085,0.490589189529638,26559.4,0.95,0.0892059074223179,0.965144030731129,0,99.2220155596888,-0.1,0.1,0.195996080078398,2.27995440091198,97.5240495190096
