"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",-0.0672364586431705,-0.0669433,-0.0665408804691031,28601.7,0.95,-0.231447,0.0904706,NA,NA,NA,NA,NA,NA,NA
"mu[2]",0.233372952735733,0.232752,0.22962120884638,26650.2,0.95,0.0840568,0.380223,NA,NA,NA,NA,NA,NA,NA
"muDiff",0.300609411378904,0.3003771,0.29814875093898,28167.7,0.95,0.0867,0.520222,0,99.510009799804,-0.1,0.1,0.0579988400231995,3.29393412131758,96.6480670386592
"sigma[1]",0.237207846663067,0.223853,0.206828503016832,14750.3,0.95,0.124781,0.380639,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",0.213803724051519,0.201865,0.184098346373061,12733.9,0.95,0.0986926,0.358463,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",-0.0234041226115478,-0.022588,-0.0222767389006123,14073.8,0.95,-0.233544,0.169243,0,38.9152216955661,-0.1,0.1,18.5596288074239,72.7145457090858,8.72582548349033
"nu",32.8210356050679,23.9094,8.53292057391812,9294,0.95,1.02789,93.7737,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.34236575543912,1.37856867774862,1.47864649133135,11777.4,0.95,0.517234177539425,2.09334112306888,NA,NA,NA,NA,NA,NA,NA
"effSz",1.37235336528228,1.35783207792575,1.35041595594369,23953.7,0.95,0.295234041557755,2.4794087685806,0,99.510009799804,-0.1,0.1,0.251994960100798,0.627987440251189,99.120017599648
