"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-145.583277787659,-147.462372255756,-168.309504338249,11196.3,0.95,-316.065255476424,22.1179305916121,NA,NA,NA,NA,NA,NA,NA
"beta1",4.45275476521103,4.48706088592379,4.77359552126317,11445.4,0.95,2.00018561413903,7.00423177777699,0,99.945,-0.5,0.5,0.015,0.185000000000002,99.8
"sigma",25.817987233306,25.5549714653127,25.04118786335,7056.3,0.95,16.5436337788351,35.1864339944553,NA,NA,NA,NA,NA,NA,NA
"nu",27.591754208877,18.077027596466,6.53211617077364,3238.2,0.95,1.14592532655152,83.1008930695573,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.24045027254044,1.25712701886895,1.26428656834677,3692.8,0.95,0.420343185921505,2.02052245806629,NA,NA,NA,NA,NA,NA,NA
