"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-139.926017134406,-139.924625413106,-141.517091245539,6900.6,0.95,-194.328391496604,-85.9399603991826,NA,NA,NA,NA,NA,NA,NA
"beta1",4.46078492117423,4.46067581918816,4.47373463692446,6917.7,0.95,3.67361038597938,5.29625956867059,0,100,-0.5,0.5,0,0,100
"sigma",23.9723967663027,23.9347506850888,24.0015733030242,8242.7,0.95,20.7935036821373,27.200097866402,NA,NA,NA,NA,NA,NA,NA
"nu",5.36752228965709,5.06643109137261,4.85280326969317,7802.5,0.95,2.79701004412914,8.49316614481079,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.712833066405763,0.704702140179869,0.695145480879588,8138.9,0.95,0.485496350126431,0.949397267870018,NA,NA,NA,NA,NA,NA,NA
