"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",154.788060204796,154.718,153.986099314634,27344.3,0.95,138.512,171.425,NA,NA,NA,NA,NA,NA,NA
"mu[2]",156.540618761625,156.548,156.216766300488,25193.3,0.95,142.092,170.947,NA,NA,NA,NA,NA,NA,NA
"muDiff",1.75255855682886,1.78099999999998,1.88495931976642,26271.9,0.95,-19.921,23.613,0,56.8888622227555,-0.1,0.1,42.7151456970861,0.765984680306389,56.5188696226075
"sigma[1]",24.1044813115738,22.7568,20.397451590762,13069.3,0.95,11.7698,39.2363,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",21.1378032051359,19.972,17.9837076312396,12010.3,0.95,10.7473,34.4762,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",-2.96667810643787,-2.6916,-2.50244664708417,13013.8,0.95,-23.2079,16.4267,0,36.8092638147237,-0.1,0.1,62.6367472650547,0.997980040399199,36.3652726945461
"nu",32.7567447223656,24.2124,8.94822881310787,9245.7,0.95,0.714694,90.8513,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.34813197347945,1.38403784004465,1.45734947340093,12249.8,0.95,0.536510465531144,2.08204176748496,NA,NA,NA,NA,NA,NA,NA
"effSz",0.0841840929511719,0.0807369330072538,0.0814988956957468,28152.5,0.95,-0.866049349358027,0.986406494048076,0,56.8888622227555,-0.1,0.1,34.8733025339493,16.8016639667207,48.32503349933
