"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu",100.087273155863,100.082562143837,99.9741083835221,10980,0.95,98.654494255047,101.525875420838,100,54.2,NA,NA,NA,NA,NA
"sigma",15.1472096957044,15.1213840671879,15.0215785567407,5191.6,0.95,13.888819370632,16.4050992521163,15,57.765,NA,NA,NA,NA,NA
"effSz",0.00522234463113205,0.00548107746259524,-0.00172407202874322,11077,0.95,-0.0893389132644356,0.0995532503655363,0,54.2,-0.1,0.1,1.475,96.135,2.39
