"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",705.638312073758,705.83,707.740947555671,26035.3,0.95,684.568,726.15,NA,NA,NA,NA,NA,NA,NA
"mu[2]",1026.1973298134,1026.79,1025.34328090986,19201.1,0.95,975.513,1075.08,NA,NA,NA,NA,NA,NA,NA
"muDiff",320.559017739645,321.044,321.076875605637,23441.7,0.95,268.795,374.809,0,100,-10,10,0,0,100
"sigma[1]",81.1645229795404,80.6347,78.5759957648882,12029.2,0.95,61.0072,102.013,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",201.164376292474,200.092,201.285976808041,11379.6,0.95,155.743,249.732,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",119.999853312934,119.0427,119.277289237832,17901.6,0.95,75.7219,165.433,0,100,-10,10,0,0,100
"nu",3.36607360572789,3.15931,2.85311646392133,7551.8,0.95,1.80015,5.42734,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.509390846054465,0.499592242139395,0.478469274081973,8523.3,0.95,0.277913915654079,0.749054974558833,NA,NA,NA,NA,NA,NA,NA
"effSz",2.11751958635871,2.10230756404886,2.07734955191648,11481.9,0.95,1.50733653569523,2.78356190931038,0,100,-0.1,0.1,0,0,100
