"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-5.34959035713333,-5.30295,-5.1372619790133,13312.2,0.95,-7.76641,-3.05722,NA,NA,NA,NA,NA,NA,NA
"beta",0.033261396542,0.03289175,0.0319745107447313,13146.9,0.95,0.0183827,0.048061,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.08394837792352,-0.0814254,-0.0600430270613259,13804.9,0.95,-0.499826,0.338732,NA,NA,NA,NA,NA,NA,NA
"zbeta",1.1865256752,1.17334,1.14061774553265,13146.9,0.95,0.655762,1.71447,NA,NA,NA,NA,NA,NA,NA
